source_id,ra,dec,catalogs,distance_kpc,V_total,V_GSR,v_esc,v_ratio,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound,ruwe,parallax_over_error,radial_velocity
4596709059448160640,269.26551140535827,29.97590014976974,liao2024,18.93825812793359,533.604796772879,514.8425257320451,458.4160233967341,1.1230901614590312,534.4188879158509,103.88414618643611,0.586,0.756,1.080773,5.589899908063832,-135.79546
6098873935647575552,220.64107456448724,-44.567478803187655,liao2024,11.472173410412909,849.2738879536454,639.7961960102263,528.9384739454295,1.2095852873735822,666.777846703099,176.117632657205,0.855,0.756,1.2491988,5.371587634554646,162.83295
4382874732407367296,250.95830156767582,-0.21388377509713213,liao2024,7.172305931706379,908.4470229192503,664.0500696195455,606.2913865158137,1.0952655511661724,674.9101053659377,108.20937534168716,0.977,0.754,0.99047744,8.795411141476487,-214.63544
1966554512826087808,325.68453859227185,41.633532233458205,liao2024,11.16536233850006,530.8989213950456,523.3749157590386,463.2443400040268,1.1298031525965089,548.4014395358234,117.99285803512734,0.619,0.744,1.0497216,5.015472797973185,-187.9842
1706082544661971200,251.73466671510056,78.3454698475449,liao2024,9.659505706217102,640.734492619874,492.61993653537246,464.8333170699885,1.0597775986466138,499.4561906031233,49.02867770197883,0.429,0.741,0.96146274,9.72764861329744,-391.30896
1315274021472177920,242.5186636087099,25.936648683833383,liao2024,10.499618506117677,789.811166972332,615.02188960385,544.5528953302585,1.1294070693184979,641.8507130427105,143.16072404002009,0.864,0.733,1.036363,5.854722151925605,-200.24112
4586965565362654464,278.93102095148765,27.963774882385493,liao2024,10.496498939556771,668.6263003522679,547.5927737052806,503.49692097256406,1.0875791904497454,557.4332363235105,79.41211043551856,0.757,0.719,1.113292,8.281927251183403,-234.47496
3653273996289384832,217.36921219915223,-0.3642373709469774,liao2024,6.824660969359946,691.3658406266687,599.1256295761106,571.3010884431116,1.0487038125707504,610.6267242039435,69.7422053273797,0.987,0.714,0.99224025,7.397713139355027,339.99005
1589483528424371200,229.35975845825843,50.28850844440341,"li2021,liao2024",12.069428136667996,769.1663357354868,539.9723191832088,491.2001373251958,1.0992918734176242,554.9200526854198,99.53204320834939,0.684,0.707,1.0764953,7.3645974071016305,-279.9112
4554963351727068672,261.62705090133096,20.562258362509446,liao2024,18.80672990673761,440.68986597883475,514.7015374420281,474.08483580589535,1.0856739101707156,534.1914967817091,85.43078522632808,0.601,0.703,0.9871665,5.025305769936857,138.40355
1449835621732522112,202.80952279030592,28.758600849959507,liao2024,8.331382613786007,796.7334137869906,589.6258158176702,522.1591910736595,1.1292070041040287,625.5368909390708,177.6185078024823,0.77,0.701,0.9922851,5.0679453323053085,-163.1314
4564648331173245568,253.86665164140027,20.93197854353144,"li2021,liao2024",9.024007349271102,686.213703006185,601.9979912612877,549.1228932371737,1.0962900994937694,622.1761889243768,116.79215191032944,0.876,0.694,1.0047846,6.057739734918444,55.477276
