source_id,catalogs,ra,dec,radial_velocity,lamost_rv,delta_rv,V_GSR_gaia_rv,P_unbound_gaia_rv,V_GSR_lamost_rv,P_unbound_lamost_rv,V_GSR_delta,P_unbound_delta
4454407790680400128,li2021,238.6167562191904,8.495492827669112,-6.4454465,-12.32,-5.874553508758545,390.66249269945934,0.0,389.73316562115957,0.0,-0.9293270782997638,0.0
1181043649086820224,li2021,226.61838639563163,12.887278106139364,15.795543,16.9,1.104457283020018,311.7940782067871,0.0,312.03096053295377,0.0,0.23688232616666482,0.0
1337022361468692864,"li2021,liao2024",261.7587014501879,36.13135154118388,146.2412,137.42,-8.82119567871095,420.50563753175464,0.0,413.4652737243611,0.0,-7.040363807393533,0.0
1322487951620883968,"li2021,liao2024",243.53293875837153,32.4902759060982,-188.27428,-201.81,-13.535723266601565,374.2281954686748,0.0,375.9812291645945,0.0,1.7530336959196688,0.0
1426437773775389440,li2021,254.31758928478317,55.249888969134574,-15.373098,-15.61,-0.2369016265869135,339.6397299510357,0.0,339.51242009554346,0.0,-0.1273098554922285,0.0
1335963909728809600,li2021,262.7067965505578,34.89087839217808,-265.66354,-267.0,-1.336456298828125,294.5674770835595,0.0,294.9097116878726,0.0,0.3422346043130915,0.0
2568079148073936896,li2021,29.880722217862118,7.685454832757829,81.448204,49.08,-32.368204040527345,363.8831861947475,0.0,352.4026285006503,0.0,-11.480557694097229,0.0
4580533903375688576,li2021,265.9628480480043,23.312927079537314,-150.45808,-134.5,15.958084106445312,341.7856160279584,0.0,343.3467247065007,0.0,1.5611086785423254,0.0
1508756353921427328,li2021,210.20491627098264,45.866155208872115,126.00084,121.37,-4.630839233398433,364.50166434063556,0.0,361.5976242042802,0.0,-2.904040136355377,0.0
4595327282568833152,li2021,262.93805116482713,28.077305490157684,-104.4578,-110.75,-6.292198181152344,370.21630685882104,0.0,368.99052385539653,0.0,-1.2257830034245103,0.0
1400950785006036224,"li2021,liao2024",233.9278564243463,46.56878510250967,47.872852,42.85,-5.022852325439452,446.42025875493965,0.023,444.18263326780243,0.006,-2.2376254871372225,-0.017
4577663593912862720,li2021,269.6804469526291,23.07946480016763,-244.15543,-252.14,-7.984573974609361,242.9308523530656,0.0,245.0769624985214,0.0,2.1461101454557934,0.0
1490900937921299712,li2021,217.66094829848024,40.48242279699306,-205.10631,-206.35,-1.2436920166015568,357.21922353302625,0.0,357.5679148278,0.0,0.3486912947737437,0.0
1610496909322844928,"li2021,liao2024",217.69410507260415,56.4181970760125,-216.63794,-223.16,-6.522060546874997,375.4426977978512,0.0,376.7925551730604,0.0,1.349857375209183,0.0
671028480394587008,li2021,120.95336226522755,21.790115434861384,-2.2529838,-15.37,-13.117016191482543,266.6655767319447,0.0,271.2146798028009,0.0,4.549103070856177,0.0
4449563273728977664,li2021,241.88756214124592,4.976799536258126,-108.51143,-119.77,-11.258571166992184,382.4632626724567,0.0,383.7758555802015,0.0,1.3125929077447722,0.0
2080053078073153664,"li2021,liao2024",294.4416554246098,45.773523754746805,-264.00125,-271.14,-7.138748779296861,427.1087704551712,0.002,427.57079802719096,0.003,0.46202757201973554,0.001
