source_id,v_grf_bj,v_grf_mc_mean_bj,v_grf_mc_std_bj,P_v500_bj,P_unbound_bj,v_esc,catalogs,distance_kpc_bj,distance_kpc_invplx,v_grf_invplx,v_grf_mc_mean_invplx,v_grf_mc_std_invplx,P_v500_invplx,P_unbound_invplx,delta_P_unbound,distance_ratio_bj_over_invplx
1249356066002407040,320.4836432909373,321.3983746677053,21.282620244146326,0.0,0.0,520.643781180639,li2021,3.129438232421875,3.519507726825387,361.2824453182059,362.32974928755766,25.34626117978695,0.0,0.0,0.0,0.889169303016318
1536773937420508544,353.0451426918908,354.1698045128471,22.58054690680849,0.0,0.0,498.7977211350526,li2021,4.66485546875,5.565883019178994,403.07574815676406,409.09711769456345,38.418746558681626,0.021,0.029,-0.029,0.8381159741726117
4579654775110020096,326.88217221542226,327.7650505440791,40.60297218633509,0.0,0.0,533.7759139850882,li2021,4.9580380859375,5.995634515568295,419.2001595625858,420.6850297255036,48.89921072914398,0.064,0.026,-0.026,0.8269413475860534
1491978699834840320,353.0716613840146,353.5301970363085,12.317534884214083,0.0,0.0,513.9902647453891,li2021,2.95166455078125,3.284942419926643,396.9804056093899,398.2119404706836,15.184598031114334,0.0,0.0,0.0,0.8985437713843291
1353065198190586752,335.14950732558395,335.46743417405685,21.577571410678832,0.0,0.0,521.2806695521282,li2021,5.8294501953125,7.060196311753714,423.0321985823185,426.48016558028644,35.076685250388465,0.026,0.012,-0.012,0.8256782018380586
4594877960270902912,381.33625638981846,381.57683557351675,15.049418462407697,0.0,0.0,528.803365107785,li2021,2.907497314453125,3.047031445758684,407.7523767678333,408.0521360978432,18.302931517980397,0.0,0.0,0.0,0.9542065338709309
4557012394719359616,332.0489050030297,332.6649999035808,15.441916647273722,0.0,0.0,534.7786186422716,li2021,3.49168896484375,3.9422088316799,382.7756324050728,383.1802881878785,18.118763996821073,0.0,0.0,0.0,0.885718924067204
4434466291883669760,294.3391679442099,296.57995916579625,19.661088449581538,0.0,0.0,570.1193208208973,li2021,5.11044873046875,6.318956976584366,369.2519524414351,373.0621723499372,38.98294820727484,0.005,0.0,0.0,0.8087487775919532
1365416287183646720,338.6397619938707,338.8266318050606,11.717107662515264,0.0,0.0,511.1815166291452,li2021,5.0626259765625,5.814242732672743,383.97846559128425,385.22472223240595,20.23659834016206,0.0,0.0,0.0,0.8707283492162129
1314105790367184640,286.97931395089483,288.0897621837441,34.54658452770276,0.0,0.0,531.1277104131833,li2021,6.44007275390625,8.018814088689838,398.0129005662865,400.77601328613923,50.59343461124085,0.039,0.022,-0.022,0.8031203470585097
